Brand,Name,Price,Milage,Engine Power
,,,,
TVS,TVS Apache RTR 160,Rs.1.18 - 1.25 Lakh*,,16.04 PS
TVS,TVS Raider,"Rs.85,973 - 99,990*",67 kmpl,11.38 PS
TVS,TVS Apache RTR 160 4V,Rs.1.22 - 1.45 Lakh*,47.61 kmpl,19.2 PS
TVS,TVS Apache RR 310,Rs.2.65 Lakh*,33.1 kmpl,34 PS
TVS,TVS NTORQ 125,"Rs.79,956 - 99,961*",54.33 kmpl,9.38 PS
TVS,Advertisement,Advertisement,,
TVS,Advertisement,Advertisement,,
TVS,TVS Ronin,Rs.1.49 - 1.71 Lakh*,42.95 kmpl,20.4 PS
TVS,TVS iQube Electric,Rs.1.61 - 1.61 Lakh*,,
TVS,TVS XL100,"Rs.45,241 - 56,360*",80 kmpl,4.35 PS
TVS,TVS Jupiter,"Rs.69,990 - 85,246*",64 kmpl,7.88 PS
TVS,TVS Apache RTR 180,Rs.1.31 Lakh*,,17.02 PS
TVS,TVS Apache RTR 200 4V,Rs.1.40 - 1.45 Lakh*,,20.82 PS
TVS,TVS Sport,"Rs.63,990 - 68,093*",,8.29 PS
TVS,TVS Radeon,"Rs.59,925 - 78,414*",73.68 kmpl,8.19 PS
TVS,TVS Jupiter 125,"Rs.82,825 - 89,625*",57.27 kmpl,8.15 PS
TVS,TVS Star City Plus,"Rs.74,990 - 78,140*",83.09 kmpl,8.19 PS
TVS,TVS Scooty Pep Plus,"Rs.63,284 - 66,184*",,5.4 PS
TVS,TVS Scooty Zest,"Rs.71,636 - 73,313*",,7.81 PS
Hero,Hero Splendor Plus,"Rs.72,076 - 76,346*",,8.02 PS
Hero,Hero HF Deluxe,"Rs.59,990 - 67,138*",,8.02 PS
Hero,Hero XPulse 200,Rs.1.38 - 1.52 Lakh*,51.59 kmpl,19.17 PS
Hero,Hero Passion Pro,"Rs.74,408 - 80,858*",68.21 kmpl,9.15 PS
Hero,Hero Glamour,"Rs.78,018 - 84,638*",,10.84 PS
Hero,Advertisement,Advertisement,,
Hero,Advertisement,Advertisement,,
Hero,Hero Super Splendor,"Rs.77,918 - 83,248*",,10.8 PS
Hero,Hero Xtreme 160R,Rs.1.19 - 1.30 Lakh*,55.47 kmpl,15.2 PS
Hero,Hero Maestro Edge 125,"Rs.77,896 - 86,766*",65 kmpl,9.1 PS
Hero,Hero Pleasure Plus,"Rs.68,368 - 77,268*",,8.1 PS
Hero,Hero Glamour Xtec,"Rs.85,918 - 90,518*",,10.84 PS
Hero,Hero XPulse 200T,Rs.1.24 - 1.26 Lakh*,,19.1 PS
Hero,Hero HF 100,"Rs.56,968*",,8.02 PS
Hero,Hero Destini 125,"Rs.71,108 - 82,908*",,9.10 PS
Hero,Hero Xtreme 200S,Rs.1.35 Lakh*,,18.08 PS
Hero,Hero Maestro Edge 110,"Rs.68,698 - 73,498*",,8.15 PS
Honda,Honda Activa 6G,"Rs.73,086 - 76,587*",,7.79 PS
Honda,Honda SP 125,"Rs.83,522 - 87,522*",,10.8 PS
Honda,Honda Shine,"Rs.78,414 - 83,914*",,10.74 PS
Honda,Honda Unicorn,Rs.1.05 Lakh*,,12.91 PS
Honda,Honda Dio,"Rs.68,352 - 74,353*",55 kmpl,7.76 PS
Honda,Advertisement,Advertisement,,
Honda,Advertisement,Advertisement,,
Honda,Honda H'ness CB350,Rs.2 - 2.08 Lakh*,45.8 kmpl,21.07 PS
Honda,Honda Hornet 2.0,Rs.1.36 Lakh*,57.35 kmpl,17.26 PS
Honda,Honda Activa 125,"Rs.77,062 - 84,235*",60 kmpl,8.29 PS
Honda,Honda Livo,"Rs.75,002 - 79,002*",,8.79 PS
Honda,Honda XBlade,Rs.1.21 Lakh*,,13.8 PS
Honda,Honda CB300F,Rs.2.26 - 2.29 Lakh*,,24.4 PS
Honda,Honda CD 110 Dream,"Rs.70,315*",,8.79 PS
Honda,Honda CBR650R,Rs.8.89 Lakh*,,87.01 PS
Honda,Honda Grazia,"Rs.82,248 - 89,573*",,8.25 PS
Honda,Honda CB350RS,Rs.2.05 - 2.06 Lakh*,,21.07 PS
Honda,Honda CB300R,Rs.2.77 Lakh*,,31.13 PS
Honda,Honda CB200X,Rs.1.49 Lakh*,,17.2 PS
Honda,Honda Gold Wing,Rs.39.16 Lakh*,,126.4 PS
Honda,Honda CB650R,Rs.8.67 Lakh*,20.4 kmpl,87.01 PS
Honda,Honda CRF1100L Africa Twin,Rs.15.97 - 17.51 Lakh*,,99.2 PS
Honda,Honda CB500X,Rs.5.80 Lakh*,,47.58 PS
Honda,Honda CBR1000RR-R,Rs.23.11 - 23.63 Lakh*,,217.5 PS
Bajaj,Bajaj Pulsar NS200,Rs.1.41 Lakh*,40.84 kmpl,24.5 PS
Bajaj,Bajaj Pulsar 150,Rs.1.04 - 1.14 Lakh*,,14 PS
Bajaj,Bajaj Pulsar 125,"Rs.89,254 - 91,642*",51.46 kmpl,11.8 PS
Bajaj,Bajaj Pulsar RS200,Rs.1.71 Lakh*,,24.5 PS
Bajaj,Bajaj Pulsar N160,Rs.1.23 - 1.30 Lakh*,59.11 kmpl,16 PS
Bajaj,Advertisement,Advertisement,,
Bajaj,Advertisement,Advertisement,,
Bajaj,Bajaj Pulsar NS 125,Rs.1.04 Lakh*,64.75 kmpl,11.99 PS
Bajaj,Bajaj Pulsar NS160,Rs.1.25 Lakh*,40.6 kmpl,17.2 PS
Bajaj,Bajaj Dominar 400,Rs.2.24 Lakh*,,40 PS
Bajaj,Bajaj Platina 110,"Rs.67,341 - 72,224*",,8.6 PS
Bajaj,Bajaj Chetak,Rs.1.52 Lakh*,,
Bajaj,Bajaj Pulsar P150,Rs.1.17 - 1.20 Lakh*,,14.5 PS
Bajaj,Bajaj Platina 100,"Rs.64,653*",,7.9 PS
Bajaj,Bajaj CT 110X,"Rs.59,104 - 67,322*",,8.6 PS
Bajaj,Bajaj Pulsar N250,Rs.1.41 - 1.50 Lakh*,,24.5 PS
Bajaj,Bajaj Dominar 250,Rs.1.75 Lakh*,35.03 kmpl,27 PS
Bajaj,Bajaj Pulsar F250,Rs.1.41 - 1.50 Lakh*,,24.5 PS
Bajaj,Bajaj CT 125X,"Rs.71,354 - 74,554*",59.6 kmpl,10.9 PS
Bajaj,Bajaj Avenger Cruise 220,Rs.1.38 Lakh*,,19.03 PS
Bajaj,Bajaj Avenger Street 160,Rs.1.12 Lakh*,47.2 kmpl,15 PS
Royal Enfield,Royal Enfield Classic 350,Rs.1.90 - 2.21 Lakh*,41.55 kmpl,20.21 PS
Royal Enfield,Royal Enfield Hunter 350,Rs.1.50 - 1.72 Lakh*,36.2 kmpl,20.4 PS
Royal Enfield,Royal Enfield Bullet 350,Rs.1.55 - 1.63 Lakh*,,19.36 PS
Royal Enfield,Royal Enfield Continental GT 650,Rs.3.06 - 3.32 Lakh*,,
Royal Enfield,Royal Enfield Himalayan,Rs.2.16 - 2.24 Lakh*,32.04 kmpl,24.31 PS
Royal Enfield,Advertisement,Advertisement,,
Royal Enfield,Advertisement,Advertisement,,
Royal Enfield,Royal Enfield Meteor 350,Rs.2.01 - 2.19 Lakh*,41.88 kmpl,20.4 PS
Royal Enfield,Royal Enfield Interceptor 650,Rs.2.89 - 3.32 Lakh*,31.95 kmpl,47.65 PS
Royal Enfield,Royal Enfield Scram 411,Rs.2.03 - 2.09 Lakh*,38.23 kmpl,24.31 PS
Yamaha,Yamaha MT 15 V2,Rs.1.65 - 1.66 Lakh*,56.87 kmpl,18.4 PS
Yamaha,Yamaha R15S,Rs.1.62 Lakh*,,18.6 PS
Yamaha,Yamaha R15 V4,Rs.1.79 - 1.92 Lakh*,55.20 kmpl,18.4 PS
Yamaha,Yamaha FZ-FI V3,Rs.1.14 Lakh*,,12.4 PS
Yamaha,Yamaha FZS-FI V3,Rs.1.21 - 1.24 Lakh*,49.31 kmpl,12.4 PS
Yamaha,Advertisement,Advertisement,,
